title,heading,content,tokens
2020 Summer Olympics,Venues and infrastructure,"In February 2012, it was announced that Tokyo's former National Stadium, the central venue for the 1964 Summer Olympics, would undergo a ¥100 billion renovation for the 2019 Rugby World Cup and the 2020 Summer Olympics. In November 2012, the Japan Sport Council announced that it was taking bids for proposed stadium designs. Of the 46 finalists, Zaha Hadid Architects was awarded the project, which would replace the old stadium with a new 80,000-seat stadium. There was criticism of the Zaha Hadid design—which was compared to a bicycle helmet and regarded as clashing with the surrounding Meiji Shrine—and widespread disapproval of the costs, even with attempts to revise and ""optimize"" the design.
In June 2015, the government announced plans to reduce the new stadium's permanent capacity to 65,000 in its athletics configuration (although with the option to add up to 15,000 temporary seats for football) as a further cost-saving measure. The original plan to build a retractable roof was also abandoned. At the end of 2015, as a result of public opposition to the increasing costs of the new stadium (which had reached ¥252 billion), the government chose to reject Zaha Hadid's design entirely and selected a new design by Japanese architect Kengo Kuma. Inspired by traditional temples and with a lower profile, Kuma's design had a budget of ¥149 billion. The changes meant the new stadium could not be completed in time for the 2019 Rugby World Cup as originally intended. The National Stadium, which was inaugurated on 21 December 2019, was named the Olympic Stadium for the duration of the Tokyo Games.
In October 2018, the Board of Audit issued a report stating that the total cost of the Olympic venues could exceed US$25 billion.
Of the 33 competition venues in Tokyo, 28 were within 8 kilometers (5 miles) of the Olympic Village, with eleven new venues to be constructed. On 16 October 2019, the IOC announced that there were plans to re-locate the marathon and racewalking events to Sapporo for heat concerns. The plans were made official on 1 November 2019 after Tokyo Governor Yuriko Koike accepted the IOC's decision, despite her belief that the events should have remained in Tokyo.
In general, as urban studies scholar Faure notes, ""The Tokyo 2020–2021 Games had a relatively moderate impact on the city, compared to previous cases such as Rio and Sochi, or cases in which a major Olympic park was built in Barcelona in 1992, and in Beijing in 2008. The transport infrastructure has been marginally improved by facilitating access for people with mobility constraints and improving signage in other languages. Haneda Airport has been expanded, and a hydrogen-powered bus rapid transit system has been introduced. Several sports and event facilities were built, including the new Olympic Stadium. Finally, the Olympic Village has been built on the Harumi landfill.""",588
2020 Summer Olympics,Security,"In December 2018, the Japanese government chose to ban drones from flying over venues being used for the Olympic and Paralympic Games. A similar ban was also imposed for the 2019 Rugby World Cup, which Japan also hosted. In January 2020, counterterrorism drills began in different parts where the Games would take place, after intelligence data showed that terrorist groups could have carried out an attack seeking worldwide attention. In July 2021, prior to the start of the Games, the Japan Coast Guard conducted counterterrorism drills in the Tokyo Bay. The drill consisted of two inflatable boats trying to stop a suspicious ship from getting to shore.",124
2020 Summer Olympics,Volunteers,"Applications for volunteering at the 2020 Olympic and Paralympic Games were accepted beginning on 26 September 2018. By 18 January 2019, a total of 204,680 applications had been received by the Tokyo Organizing Committee. Interviews to select the requisite number of volunteers began in February 2019, with training scheduled to take place in October 2019. The volunteers at the venues were to be known as ""Field Cast"", and the volunteers in the city were to be known as ""City Cast"". These names were chosen from a shortlist of four from an original 150 pairs of names; the other three shortlisted names were ""Shining Blue"" and ""Shining Blue Tokyo"", ""Games Anchor"" and ""City Anchor"", and ""Games Force"" and ""City Force"". The names were chosen by the people who had applied to be volunteers at the Games.
As of early June 2021, approximately 10,000 out of the 80,000 registered volunteers resigned from the Games. Media attributed the rise in pandemic cases as the reason for massive quitting. More volunteer assignments were expected to be cancelled due to the spectator ban.",226
2020 Summer Olympics,Medals,"In February 2017, the Tokyo Organizing Committee announced an electronics recycling program in partnership with Japan Environmental Sanitation Center and NTT Docomo, soliciting donations of electronics such as mobile phones to be reclaimed as materials for the medals. Aiming to collect eight tonnes of metals to produce the medals for the Olympic and Paralympic Games, collection boxes were deployed at public locations and NTT Docomo retail shops in April 2017. A design competition for the medals was launched in December of that year.
In May 2018, the organizing committee reported that they had obtained half the required 2,700 kilograms of bronze but were struggling to obtain the required amount of silver; although bronze and silver medals purely utilize their respective materials, IOC requirements mandate that gold medals utilize silver as a base. The collection of bronze was completed in November 2018, with the remainder estimated to have been completed by March 2019.
On 24 July 2019 (one year ahead of the originally scheduled opening ceremony), the designs of the medals were unveiled. The medals for the Olympic and Paralympic Games were designed by Junichi Kawanishi following a nationwide competition. A new feature shared with the Paralympic medals is that the ribbons contain one, two, or three silicone convex lines to distinguish gold, silver, and bronze medals, respectively.",265
2020 Summer Olympics,Torch relay,"The slogan of the 2020 Summer Olympics torch relay was ""Hope Lights Our Way"".
As determined by a 2009 IOC ruling that banned international torch relays for any future Olympic Games, the 2020 Summer Olympics torch was scheduled to only visit the two countries of Greece and the host nation Japan. The first phase of the relay began on 12 March 2020, with the traditional flame lighting ceremony at the Temple of Hera in Olympia, Greece. The torch then travelled to Athens, where the Greek leg of the relay culminated in a handover ceremony at the Panathenaic Stadium on 19 March, during which the torch was transferred to the Japanese contingent. The flame was placed inside a special lantern and transported from Athens International Airport on a chartered flight to Higashimatsushima in Japan. The torch was then expected to begin the second phase of its journey on 20 March, as it traveled for one week around the three most affected areas of the 2011 Tōhoku earthquake and tsunami—Miyagi, Iwate and Fukushima—where it would go on display under the heading ""Flame of Recovery"". After leaving Naraha on 26 March, the torch would commence its main relay around Japan, incorporating all 47 prefectural capitals.
After the decision to postpone the Games was made, the torch was placed again in a special lantern on display in the city of Fukushima for a month. After that, the lantern was transferred to the Tokyo prefecture, where it was kept safe until the restart of the relay in 2021. On 23 July 2020 (one year ahead of the rescheduled opening ceremony), a promotional video was released featuring Japanese swimmer Rikako Ikee carrying the lantern inside Japan National Stadium, drawing comparisons between emergence from the pandemic and her own return to sport after being diagnosed with leukemia. On 20 August 2020, it was announced that the torch relay would begin again in Naraha, Fukushima on 25 March 2021, nearly a year later than originally planned.
The final course of the relay was altered due to concerns regarding public health concerns about gatherings along the route (e.g., the Miyakojima leg was canceled), and the relay was held without spectators due to states of emergency in some regions (e.g., Matsuyama, Hiroshima, Hyōgo, and Okayama). The relay ended at Tokyo's National Stadium (Olympic Stadium) on 23 July, with tennis player Naomi Osaka lighting the Olympic cauldron at the finale of the opening ceremony. The cauldron lit in the Olympic Stadium was only used during the opening and closing ceremonies: a separate cauldron was lit on the Tokyo waterfront for public view at the Yume No Ohashi Bridge in Odaiba, making it only the second time in Olympic history where the cauldron was not displayed in the athletics stadium, the other time being in 2016.",573
2020 Summer Olympics,Biosecurity protocols,"In February 2021, the IOC began releasing ""playbooks"" containing details on planned COVID-19 biosecurity protocols for athletes, officials, the press, and other staff, including standard protocols such as practicing social distancing, hygiene, the wearing of face masks (outside of training and competition for athletes), and being restricted from visiting bars, restaurants, shops, and other tourist areas around Greater Tokyo Area, or using public transport unless otherwise permitted. Participants would be asked to use Japan's COCOA Exposure Notification app and would be tested at least every four days. Athletes who tested positive would be unable to compete and could be quarantined at a government facility (although leeway would be given in the event of false positives). Close contacts would also need to test negative in order to be cleared for competition. Athletes would be discouraged from ""excessive"" celebrations because the actions could spread infected droplets. The playbooks were criticized in a paper published by The New England Journal of Medicine in May 2021, for lacking ""scientifically rigorous risk assessment"" and failing to ""distinguish the various levels of risk faced by athletes"". The playbook stated that the athletes were required to arrive up to five days prior to the start of the competition and to leave within 48 hours of being eliminated from their sport or the conclusion of the competitions.
The IOC recommended the vaccination of athletes against COVID-19 if vaccines were available to them, but this was not a prerequisite for participation and the IOC advised against athletes ""jumping the queue"" in order to obtain priority over essential populations. On 12 March 2021, Thomas Bach announced that in nations where they were approved for use, the Chinese Olympic Committee had offered to cover the costs of the Chinese CoronaVac and the Sinopharm BIBP vaccine for athletes competing in the 2020 Summer Olympics and 2022 Winter Olympics, and would purchase two doses for their nation's general public for each vaccinated athlete. On 6 May 2021, Pfizer announced that it would donate doses of its vaccine to NOCs competing in Tokyo.
Approximately 93,000 athletes and officials were exempt from the quarantine rules upon arriving in Japan, provided that they remained in areas separated from the local population. With around 300,000 local staff and volunteers entering and exiting these bubbles, and 20,000 vaccine doses allocated for this group, this led to concerns of COVID-19 spreading both during the Games and when teams returned to their countries.
Due to international travel restrictions, the organizing committee announced in March 2021 that no international guests (including spectators, and friends and family members of the athletes) would be allowed to attend the Games. As per existing guidance for spectator sports in Japan, spectators would be asked to refrain from cheering or shouting. On 19 June 2021, Governor Koike announced that plans for public viewing events for the Games had been scrapped, in order to use the planned venues (such as Yoyogi Park) as mass vaccination sites instead. On 21 June, it was announced that all venues would be capped at a maximum of 10,000 ticketed spectators or 50% capacity, whichever was lower.
On 2 July 2021, the new TOCOG president Seiko Hashimoto warned that there was still a possibility of the Games being held behind closed doors because of rising COVID-19 cases in the country. Japan's slow vaccination rate had been of particular concern. A simulation run by the University of Tokyo in May 2021 projected that a new wave of infections could peak in mid-October if the Games went on after the existing state of emergency in Tokyo had expired.
On 8 July 2021, after Tokyo had recorded 920 new COVID-19 cases (its highest increase since May), Prime Minister Suga declared a new state of emergency in the Tokyo area from 12 July through 22 August (ending only two days before the Paralympics' opening ceremony), and announced that all events at venues in the area would therefore be held behind closed doors with no spectators permitted. Hashimoto stated that ""it is extremely regrettable that the Games will be staged in a very limited manner in the face of the spread of novel coronavirus infections."" IOC President Thomas Bach stated that ""we will support any measure which is necessary to have a safe and secure Olympic and Paralympic Games for the Japanese people and all the participants.""
The announcement stated that spectators would still be allowed at events being held outside of Tokyo, subject to the approval by local health authorities and the aforementioned 50%/10,000-spectator limit. The prefectures of Fukushima, Hokkaido and Ibaraki announced that they would prohibit spectators at events held in the areas. The opening ceremony was expected to be limited to fewer than 1,000 VIP guests, including IOC representatives and dignitaries, while some events did allow members of other competing delegations to occupy spectator seats as well. School students were invited to watch football matches in Ibaraki.
On 16 July, it was reported that Bach had asked Prime Minister Suga about the possibility that restrictions on spectators could be eased later on if COVID-19 conditions were to improve in Tokyo. However, on 2 August, Suga announced that all existing state of emergency declarations would be extended through 31 August, and be extended to Chiba, Kanagawa, Saitama, and parts of Osaka.",1083
2020 Summer Olympics,Ticketing,"The opening ceremony tickets were expected to range from ¥12,000 to ¥300,000, with a maximum price of ¥130,000 for the finals of the athletics track and field events. The average ticket price was ¥7,700, with half the tickets being sold for up to ¥8,000. A symbolic ticket price of ¥2,020 was expected for families, groups resident in Japan, and in conjunction with a school program. Tickets would be sold through 40,000 shops in Japan and by mail order to Japanese addresses through the internet. International guests, had they been allowed, would have needed to visit Japan during the sales period, or arrange to buy tickets through a third party such as a travel agent.
Tickets went on general sale in Japan in the autumn of 2019 and were expected to be sold globally from June 2020; however, this plan was suspended when the Games were postponed on 24 March 2020. The Tokyo Organizing Committee confirmed that tickets already purchased would remain valid for the same sessions according to the new schedule and that refunds were also being offered.
On 20 March 2021, it was announced that due to COVID-19-related concerns, no international guests would be allowed to attend the 2020 Olympics or Paralympics. This included both spectators, as well as the friends and family of athletes. All overseas ticketholders would be refunded. Hashimoto cited uncertainties surrounding international travel restrictions, and goals to preserve the safety of all participants and spectators, and not place a burden on the health care system. It was ultimately announced in July that all local spectators were not allowed to attend any events held in Tokyo, Fukushima and Hokkaido.",340
2020 Summer Olympics,Cultural festival,"A cultural program known as Nippon Festival was scheduled to coincide with the Olympics and Paralympics, running from April to September 2021 as a series of streaming events held by the Tokyo Organizing Committee and other partners. The events reflected the themes of ""Participation and Interaction"", ""Towards the Realization of an Inclusive Society"" and ""Reconstruction of the Tohoku Region"". The program was either downsized or reformatted to virtual format due to the COVID-19 pandemic and the postponement of the Games. One of these events was a concert held on 18 July, which featured J-rock band Wanima, choreography by dancers Aio Yamada and Tuki Takamura, and the presentation of animated ""creatures"" based on illustrations ""embodying the thoughts and emotions of people from across the world"".
The original plans for Nippon Festival included events such as Kabuki x Opera (a concert that would have featured stage actor Ichikawa Ebizō XI, opera singers Anna Pirozzi and Erwin Schrott, and the Tokyo Philharmonic Orchestra), an arts and culture festival focusing on disabilities, and a special two-day exhibition sumo tournament at the Ryōgoku Kokugikan shortly after the Olympics—which would have differed significantly from the traditional bi-monthly Honbasho tournaments, and featured special commentary in English and Japanese to help explain to spectators the customs and traditions of professional sumo, which are deeply rooted in the Shinto religion.",311
2020 Summer Olympics,Opening ceremony,"The opening ceremony was held on 23 July 2021 in the Olympic Stadium in Tokyo. It included the traditional Parade of Nations. Emperor Naruhito formally opened the Games, and at the end of the torch relay the Olympic cauldron was lit by Japanese tennis player Naomi Osaka.
For the first time in the 2020 Olympic Games, it was decided that one male and one female in each country would take turns holding flags and serve as two of them. 
This was done by embodying the ""Agenda 2020"" set during President Bach's term.
For the first time in the history of the games, a moment of silence was observed in the opening ceremony for the victims of COVID-19, the 2011 earthquake and tsunami and the Munich massacre.",154
2020 Summer Olympics,Sports,"The event program for the 2020 Summer Olympics was approved by the IOC executive board on 9 June 2017. IOC president Thomas Bach stated that their goal was to give the Games ""youthful"" and ""urban"" appeal, and to increase the number of female participants.
The Games featured 339 events in 33 different sports, encompassing a total of 51 disciplines. Karate, sport climbing, surfing, and skateboarding made their Olympic debut, while baseball and softball also made a one-off return to the Summer Olympics for the first time since 2008. 15 new events within existing sports were also added, including 3×3 basketball, freestyle BMX, and the return of madison cycling, as well as nine new mixed events in several sports (table tennis, archery, judo, shooting (3), triathlon, 4 × 400 m relay running and 4 × 100 m medley swimming).
In the list below, the number of events in each discipline is noted in parentheses.",203
2020 Summer Olympics,New and Optional sports,"On 12 February 2013, with a remit to control the cost of the Games and ensure they are ""relevant to sports fans of all generations"", the IOC Executive Board recommended the removal of one of the 26 sports contested at the 2012 Summer Olympics, leaving a vacancy which the IOC would seek to fill at the 125th IOC Session. The new entrant would join golf and rugby sevens (which would both debut in 2016) as part of the program of 28 ""core"" sports. Five sports were shortlisted for removal, including canoe, field hockey, modern pentathlon, taekwondo, and wrestling. In the final round of voting by the executive board, eight members voted to remove wrestling from the Olympic program. Field hockey and taekwondo tied in second with three votes each.
The 2013 decision to drop wrestling after Rio 2016 surprised many media outlets, given that the sport's role in the Olympics dates back to the ancient Olympic Games, and was included in the original program for the modern Games. The New York Times felt that the decision was based on the shortage of well-known talent and the absence of women's events in the sport. Out of the shortlist from the IOC vote, Wrestling was duly added to the shortlist of applicants for inclusion in the 2020 Games, alongside the seven new sports that were put forward for consideration.
On 29 May 2013, it was announced that three of the eight sports under consideration had made the final shortlist: baseball/softball, squash and wrestling. The other five sports were rejected at this point: karate, roller sports, sport climbing, wakeboarding, and wushu. At the 125th IOC Session on 8 September 2013, wrestling was chosen to be included in the Olympic program for 2020 and 2024. Wrestling secured 49 votes, while baseball/softball and squash received 24 votes and 22 votes respectively.
With the adoption of the Olympic Agenda 2020 in December 2014, the IOC shifted from a ""sport-based"" approach to the Olympic program to an ""event-based"" program—establishing that organizing committees may propose discretionary events to be included in the program to improve local interest. As a result of these changes, a shortlist of eight new proposed sports was unveiled on 22 June 2015, consisting of baseball/softball, bowling, karate, roller sports, sport climbing, squash, surfing, and wushu. On 28 September 2015, the Tokyo Organizing Committee submitted their shortlist of five proposed sports to the IOC: baseball/softball, karate, sport climbing, surfing, and skateboarding. These five new sports were approved on 3 August 2016 by the IOC during the 129th IOC Session in Rio de Janeiro, Brazil, and were included in the sports program for 2020 only, bringing the total number of sports at the 2020 Olympics to 33.",579
2020 Summer Olympics,Test events,"A total of 56 test events were scheduled to take place in the run-up to the 2020 Olympics and Paralympics. Two of the events were held in late 2018, but the main test event schedule commenced in June 2019 and was originally due to be completed in May 2020 prior to the start of the Olympics. Several of the events were incorporated into pre-existing championships, but some have been newly created specifically to serve as Olympic test events for the 2020 Summer Games.
In February 2019, it was announced that the test events would be branded under the banner ""Ready, Steady, Tokyo"". The Tokyo Organizing Committee is responsible for 22 of the test events, with the remaining events being arranged by national and international sports federations. The first test event was World Sailing's World Cup Series, held at Enoshima in September 2018. The last scheduled event is the Tokyo Challenge Track Meet, which was originally due to take place at the Olympic Stadium on 6 May 2020.
All test events originally scheduled to take place from 12 March 2020 onwards were postponed due to COVID-19, with the test event calendar to be reviewed during the preparations for the rescheduled Games.",241
2020 Summer Olympics,Participating National Olympic Committees,"The Republic of Macedonia has competed under the provisional name ""Former Yugoslav Republic of Macedonia"" in every Summer and Winter Games since its debut in 1996 because of the disputed status of its official name. The naming disputes with Greece ended in 2018 with the signing of the Prespa agreement, and the country was officially renamed North Macedonia in February 2019. The new name was immediately recognized by the IOC, although the Olympic Committee of North Macedonia (NMOC) was not officially adopted until February 2020. The NMOC sent a delegation to the 2020 Winter Youth Olympics in January 2020, but the Tokyo Games were North Macedonia's first appearance at the Summer Olympics under its new name.
Since competing as Swaziland ten times at the Summer and Winter Olympics, Eswatini made its debut under that name after the renaming of the country by the king in 2018.
On 9 December 2019, the World Anti-Doping Agency (WADA) banned Russia from all international sport for a period of four years, after the Russian government was found to have tampered with laboratory data that it had provided to WADA in January 2019 as a condition of the Russian Anti-Doping Agency being reinstated. As a result of the ban, WADA planned to allow individually cleared Russian athletes to take part in the 2020 Summer Olympics under a neutral banner, as instigated at the 2018 Winter Olympics, but they would be excluded from team sports. The head of WADA's Compliance Review Committee, Jonathan Taylor, stated that the IOC would not be able to use the ""Olympic Athletes from Russia"" (OAR) designation as it did in 2018, emphasizing that neutral athletes could not be portrayed as representing a specific country. Russia later filed an appeal to the Court of Arbitration for Sport (CAS) against WADA's decision. After reviewing the case on appeal, CAS ruled on 17 December 2020 that the penalty placed on Russia be reduced. Instead of a total ban from all sporting events, the ruling allowed Russia to participate at the Olympics and other international events, but the team would not be permitted to use the Russian name, flag, or anthem for a period of two years and must present themselves as ""Neutral Athlete"" or ""Neutral Team"". The ruling does allow for ""Russia"" to be displayed on the team uniform—although it should be no more visible than the ""Neutral Athlete/Team"" designation—as well as the use of the Russian flag's colors within the uniform's design.
On 19 February 2021, it was announced that Russia would compete under the acronym ""ROC"" after the name of the Russian Olympic Committee although the name of the committee itself in full could not be used to refer to the delegation. The ROC team would be represented by the flag of the Russian Olympic Committee.

On 6 April 2021, North Korea announced that it would not participate in the 2020 Summer Olympics because of COVID-19 concerns. This marked North Korea's first absence from the Summer Olympics since 1988. In September, a month after the games concluded, the Olympic Committee of the Democratic People's Republic of Korea was banned from participation in the 2022 Winter Olympics, after they failed to participate in the Tokyo Olympics. On 21 July 2021, Guinea announced it would not be sending a delegation to the Tokyo Olympics, allegedly due to COVID-19 concerns, though media outlets suggested that financial considerations may have been the real motivating factor. Guinea later reversed the decision and confirmed that it would be participating.

The following 206 teams qualified (including the 104 universality places guaranteed in athletics, under which all 206 NOCs may send competitors regardless of qualification).",742
2020 Summer Olympics,Calendar,"The 2020 schedule by session was approved by the IOC Executive Board on 18 July 2018, with the exception of swimming, diving, and artistic swimming. A more detailed schedule by event was released on 16 April 2019, still omitting a detailed schedule for the boxing events. A detailed boxing schedule was released in late 2019.
The original schedule was from 22 July to 9 August 2020. To postpone the Olympics until 2021, all events were delayed by 364 days (one day less than a full year to preserve the same days of the week), giving a new schedule of 21 July to 8 August 2021.

All times and dates use Japan Standard Time (UTC+9)",137
2020 Summer Olympics,Medal ceremonies,"Naoki Satō composed the music for the medal ceremonies. Satō chose not to employ any musical elements distinctive to Japan ""because victory ceremonies are for athletes from around the world"" and he wanted all medalists to ""feel at ease"" when taking their places on the podium, regardless of their nationality.
The bouquets presented to the athletes came from regions affected by the 2011 earthquake and tsunami. The individual flowers were selected to represent the prefectures of Miyagi, Fukushima, Iwate, and Tokyo. The sunflowers were grown in Miyagi, planted by families whose children had died during the disaster; the white and purple eustomas and Solomon's seals were provided by a non-profit initiative to boost the local economy in Fukushima; the small bright blue gentians were grown in Iwate; and aspidistras, grown in Tokyo, were chosen to complete the bouquets.",186
2020 Summer Olympics,Event scheduling,"Per the historical precedent of swimming at the 2008 Summer Olympics in Beijing and figure skating at the 2018 Winter Olympics in Pyeongchang, swimming finals were held in the morning to allow live primetime broadcasts in the Americas. NBC paid substantial fees for rights to the Olympics, so the IOC has allowed NBC to influence event scheduling to maximize U.S. television ratings when possible. On 7 May 2014, NBC agreed to a US$7.75 billion contract extension to air the Olympics through the 2032 games, with the company being one of the IOC's major sources of revenue. Japanese broadcasters were said to have criticized the decision, as swimming is one of the most popular Olympic events in the country.",144
2020 Summer Olympics,Marketing,"The official emblems for the 2020 Olympics and Paralympics were unveiled on 25 April 2016; designed by Asao Tokolo, who won a nationwide design contest, it takes the form of a ring in an indigo-colored checkerboard pattern. The design was meant to ""express a refined elegance and sophistication that exemplifies Japan"". The checkered design resembles a pattern called ichimatsu moyo that was popular during the Edo period in Japan from 1603 to 1867. The designs replaced a previous emblem which had been scrapped after allegations that it plagiarized the logo of the Théâtre de Liège in Belgium. The Games' bid slogan was Discover Tomorrow (Japanese: 未来（あした）をつかもう, romanized: Ashita o tsukamō). While ashita literally means ""tomorrow"", it is intentionally spelled as mirai, ""future"". The official slogan United by Emotion was unveiled on 17 February 2020. The slogan was used solely in English.
The official mascot of the 2020 Summer Olympics was Miraitowa, a figure with blue-checkered ichimatsu moyo patterns inspired by the Games' official emblem. Its fictional characteristics include the ability to teleport. Created by Japanese artist Ryo Taniguchi, the mascots were selected from a competition process which took place in late 2017 and early 2018. A total of 2,042 candidate designs were submitted to the Tokyo Organizing Committee, which selected three pairs of unnamed mascot designs to present to Japanese elementary school students for the final decision. The results of the selection were announced on 28 February 2018, and the mascots were named on 22 July 2018. Miraitowa is named after the Japanese words for ""future"" and ""eternity"", and Someity is named after someiyoshino, a type of cherry blossom. Someity's name also refers to the English phrase ""so mighty"". The mascots were expected to help finance the Tokyo Games through merchandizing and licensing deals. For the legacy of the games on 3 January 2022, Ryo Taniguchi created Miraity (the future child of the mascots).",457
2020 Summer Olympics,Look of the Games,"Alongside the main Emblem blue, the five other colors used in the branding of the 2020 Games were : 
  Kurenai red,   Ai blue,   Sakura pink,   Fuji purple, and   Matsuba green. These five traditional colors of Japan were used as sub-colors to create points of difference in the color variations.",79
2020 Summer Olympics,Concerns and controversies,"Several controversial issues occurred during the preparations for the Tokyo Games.. There were allegations of bribery in the Japanese Olympic Committee's (JOC) bid and of plagiarism in the initial design for the Games' logo.. On 10 December 2018, the French financial crimes office began an investigation of Tsunekazu Takeda, the president of the Japanese Olympic Committee, concerning a 2013 scheme to obtain votes from African IOC members in support of Tokyo as host for the 2020 Olympics over Istanbul or Madrid.. In March 2020, a Japanese businessman admitted to giving gifts, including cameras and watches, to IOC officials in order to lobby for their support of Tokyo's bid to host the Olympic Games.. The official emblems of the Tokyo Olympics and Paralympics, designed by Kenjirō Sano, were unveiled in July 2015 but were withdrawn and replaced following plagiarism accusations.. The lawsuit by Olivier Debie, who claimed that his logo design was copied, was later dropped, with the designer citing escalating legal costs.. Mass logging for construction of the Olympic venues received international criticism.. Petitions, containing more than 140,000 signatures in total, were delivered to the Japanese embassies in Switzerland and Germany, expressing concerns over claims of using tropical wood sourced from Shin Yang, a Malaysian company with a record of human rights abuses, illegal logging, and rainforest destruction.. In February 2018, the Olympics Organizing Committee admitted that 87% of plywood panels used to build the new national stadium was sourced from endangered rainforests.. Portions of the Games were scheduled for locations impacted by the 2011 Tōhoku earthquake and tsunami, and the subsequent Fukushima Daiichi nuclear disaster.. The hosting of events in these locations was promoted as a means of furthering recovery in the regions, with the Games sometimes being promoted as the ""Recovery Olympics"".. However, the organization of events in these regions has faced criticism; Fukushima is considered safe by the World Health Organization and the United Nations, although scientific studies on the safety of the area are still disputed.. Some Tōhoku residents questioned the decision to use the region as a host site, arguing that preparations for the Games slowed down recovery efforts, and that the region lost workers to projects associated with the Games.. It was widely reported by international media that South Korea had asked the IOC to ban the Japanese Rising Sun Flag from the 2020 Summer Olympics, claiming it to be a symbol of Japan's imperialist past, recalling ""historic scars and pain"" for people of Korea just as the swastika ""reminds Europeans of the nightmare of World War II"".. Use of the flag in international sporting events such as the Olympic Games is controversial because it was used for waging aggressive war against many countries in Pacific regions, including the attack on Pearl Harbor..",553
2020 Summer Olympics,Broadcasting,"The Olympic Games Tokyo 2020 reached a global broadcast audience of 3.05 billion people, according to independent research conducted on behalf of the International Olympic Committee (IOC). Official coverage on Olympic broadcast partners' digital platforms alone generated 28 billion video views in total – representing a 139 per cent increase compared with the Olympic Games Rio 2016 and underlining the changing media landscape and Tokyo 2020's designation as the first streaming Games and the most watched Olympic Games ever on digital platforms.
Sony and Panasonic partnered with NHK to develop broadcasting standards for 8K resolution television, with a goal to release 8K television sets in time for the 2020 Summer Olympics. In early 2019, Italian broadcaster RAI announced its intention to deploy 8K broadcasting for the Games. NHK broadcast the opening and closing ceremonies, and coverage of selected events in 8K. Telecom company NTT Docomo signed a deal with Finland's Nokia to provide 5G-ready baseband networks in Japan in time for the Games.
The Tokyo Olympics were broadcast in the United States by NBCUniversal networks, as part of a US$4.38 billion agreement that began at the 2014 Winter Olympics in Sochi. The United States Olympic & Paralympic Committee asserted that a ""right of abatement"" clause in the contract was triggered by the delay of the Games to 2021, requiring the IOC to ""negotiate in good faith an equitable reduction in the applicable broadcast rights payments"" by NBC, with the American corporation being one of the IOC's biggest revenue streams. According to NBCUniversal CEO Jeff Shell, the Tokyo games could be the most profitable Olympics in NBC's history. The Tokyo games were NBC's first Olympics broadcast under current president Susan Rosner Rovner; it would be also be the last due to Rovner's departure in 2023.
In Europe, this was the first Summer Olympics under the IOC's exclusive pan-European rights deal with Eurosport, which began at the 2018 Winter Olympics and is contracted to run through 2024. The rights for the 2020 Summer Olympics covered almost all of Europe; a pre-existing deal with a marketer excludes Russia. Eurosport planned to sub-license coverage to free-to-air networks in each territory, and other channels owned by Discovery, Inc. subsidiaries. In the United Kingdom, these were set to be the last Games with rights owned primarily by the BBC, although as a condition of a sub-licensing agreement due to carry into the 2022 and 2024 Games, Eurosport holds exclusive pay television rights. In France, these were the last Games whose rights are primarily owned by France Télévisions. Eurosport debuted as pay television rightsholder, after Canal+ elected to sell its pay television rights as a cost-saving measure.
In Canada, the 2020 Games were shown on CBC/Radio-Canada platforms, Sportsnet, TSN and TLN. In Australia, they were aired by Seven Network. In the Indian subcontinent, they were aired by Sony Pictures Networks India (SPN).",612
Australia at the 2020 Summer Olympics,Summary,"Australia competed at the 2020 Summer Olympics in Tokyo. Originally scheduled to take place from 24 July to 9 August 2020, the Games were postponed to 23 July to 8 August 2021, because of the COVID-19 pandemic. Australia is one of only five countries to have sent athletes to every Summer Olympics of the modern era, alongside Great Britain, France, Greece, and Switzerland.
Before the official postponement, the country initially withdrew from the Games over the coronavirus pandemic concerns. The executive board of the Australian Olympic Committee unanimously voted to tell their athletes to prepare for a postponed Games.
Two days before the opening ceremony, Australia was awarded the 2032 Summer Olympics in Brisbane; the games there open 23 July 2032.
Australia competed in all sports except baseball, fencing, handball and wrestling. 
Australia left Tokyo with 46 medals winning 17 gold medals equalling their best total from Athens 2004 along with 7 silver and 22 bronze.",196
Australia at the 2020 Summer Olympics,Competitors,"The following is the list of number of competitors in the Games. 

Injuries, mental health concerns, family reasons and positive COVID infections caused several officially selected athletes to withdraw and be replaced where possible. These include: Justis Huni (boxing),  Nick Kyrgios (tennis), Alex de Minaur (tennis) replaced by Max Purcell, Liz Cambage (basketball) replaced by Sara Blicavs,  Chris Burton replaced by Stuart Tinney (equestrian), Cameron Meyer replaced by Lucas Hamilton,  Jack Haig replaced by Luke Durbridge (cycling), Marco Tilio replaced Ramy Najjarine and Jay Rich-Baghuelou replaced Ruon Tongyik (football), Penny Squibb (hockey) replaced Georgia Wilson, Henry Paterson (rugby 7's) replaced by Nathan Lawson and Dane Bird-Smith (athletics).",188
Australia at the 2020 Summer Olympics,Archery,"Three Australian archers qualified for the men's events by reaching the quarterfinal stage of the men's team recurve at the 2019 World Archery Championships in 's-Hertogenbosch, Netherlands.
On 6 March 2020, Rio 2016 bronze medallists Ryan Tyack and Taylor Worth, with David Barnes making his Olympic comeback after his debut in Athens 2004, were officially named to the men's archery team for the Games, based on their individual results at the four-part selection trials.",106
